stt,source,category,title,content,link,label
1,Dân Trí,home,"Lao động trẻ thiếu kỹ năng mềm, doanh nghiệp phải dạy lại cách… chào hỏi","Phát biểu tại chương trình ""Kết nối nguồn nhân lực với nhà tuyển dụng"" - Job Link 2025 - TS Nguyễn Đức Quốc, Chủ tịch Tập đoàn Giáo dục Quốc tế Nam Việt, chia sẻ tập đoàn hiện có khoảng 500 lao động, với mức lương dao động từ 12 triệu đến 300 triệu đồng/tháng, bình quân hơn 100 triệu đồng/tháng. Ông nhận định chất lượng lao động hiện nay vẫn còn những hạn chế nhất định. ""Nhiều sinh viên mới ra trường khi vào làm việc, chúng tôi phải dạy về văn hóa chào hỏi"", ông nói. TS Nguyễn Đức Quốc, Chủ tịch Tập đoàn Giáo dục Quốc tế Nam Việt (",https://dantri.com.vn/lao-dong-viec-lam/lao-dong-tre-thieu-ky-nang-mem-doanh-nghiep-phai-day-lai-cach-chao-hoi-20251109170651443.htm,1
2,Dân Trí,xa-hoi,"Thủ tướng giao công an điều tra, truy trách nhiệm vụ cháy gầm cầu Vĩnh Tuy","Phó Thủ tướng Trần Hồng Hà vừa ký công điện của Thủ tướng liên quan đến vụ cháy bãi trông giữ xe dưới gầm cầu Vĩnh Tuy, Hà Nội. Công điện nêu rõ vào hồi 13h ngày 30/8 đã xảy ra vụ hỏa hoạn tại bãi trông giữ xe dưới gầm khu vực cầu Vĩnh Tuy khiến trên 500 xe máy bị cháy và có nguy cơ ảnh hưởng đến kết cấu công trình cầu Vĩnh Tuy. Để làm rõ nguyên nhân, trách nhiệm và kịp thời khắc phục hậu quả vụ hỏa hoạn này, đồng thời ngăn chặn các vụ việc tương tự, Thủ tướng yêu cầu Chủ tịch UBND TP Hà Nội Trần Sỹ Thanh rà soát ngay việc cấp phép và tổ chức quản lý bãi trông giữ xe trong vụ cháy và làm rõ nguyên nhân xảy ra vụ cháy. Thủ tướng yêu cầu Chủ tịch Hà Nội có biện pháp xử lý nghiêm trách nhiệm của tổ chức, cá nhân vi phạm (nếu có) liên quan đến hoạt động cấp phép, quản lý, biện pháp bảo đảm phòng cháy chữa cháy bãi trông giữ xe dưới gầm cầu, gầm đường bộ và biện pháp bảo đảm an toàn công trình cầu theo đúng quy định. Vụ cháy ở gầm cầu Vĩnh Tuy khiến hơn 500 xe máy bị thiêu rụi (",https://dantri.com.vn/thoi-su/thu-tuong-giao-cong-an-dieu-tra-truy-trach-nhiem-vu-chay-gam-cau-vinh-tuy-20250905105127482.htm,1
3,Dân Trí,kinh-doanh,"Trọn bộ bếp Sharp: Khi bếp núc không còn là nghĩa vụ, mà là niềm vui mỗi ngày","Công việc, con nhỏ, những lịch trình nối tiếp khiến nhiều gia đình trẻ không còn đủ thời gian đứng bếp. Dù vẫn khao khát bữa cơm nóng hổi, quây quần, nhưng sự gấp gáp mỗi ngày khiến nấu nướng trở thành điều xa xỉ. Nấu ăn ngon không chỉ cần tình yêu mà còn đòi hỏi sự kiên nhẫn, kinh nghiệm. Nhưng khi thời gian hạn chế, việc căn chỉnh nhiệt độ, công thức, bước nấu... dễ biến niềm vui nấu nướng thành áp lực. Món ăn không tròn vị, bữa cơm mất ngon và căn bếp mất đi niềm cảm hứng vốn có. Ai cũng mong bếp là góc nhỏ ấm áp và gọn gàng, nhưng quá nhiều dụng cụ hay việc dọn dẹp tốn thời gian khiến niềm vui vào bếp chưa trọn vẹn. Chỉ khi không gian được sắp xếp hợp lý, thiết bị hỗ trợ thông minh thì cảm hứng nấu nướng mới có thể trở lại. Từ những vướng mắc đó, nhiều gia đình chọn lối tắt: ăn ngoài, đặt đồ ăn sẵn dù tiện lợi nhưng sẽ ẩn chứa rủi ro dinh dưỡng, vệ sinh, và đánh mất những phút giây kết nối quý giá bên mâm cơm nhà. “Bộ ba nan giải” của gia đình trẻ mỗi khi vào bếp (",https://dantri.com.vn/kinh-doanh/tron-bo-bep-sharp-khi-bep-nuc-khong-con-la-nghia-vu-ma-la-niem-vui-moi-ngay-20251104191951408.htm,1
4,Dân Trí,the-thao,"Báo Malaysia nghi ngờ FAM thắng kiện tại CAS, lo ngại tăng thêm án phạt","Liên đoàn Malaysia (FAM) đang đứng trước một quyết định then chốt sau khi Liên đoàn Bóng đá Thế giới (FIFA) áp dụng hình phạt. Mọi động thái liên quan đến việc kháng cáo lên Tòa án Trọng tài Thể thao (CAS) cần được xem xét kỹ lưỡng và toàn diện. Luật sư thương mại và thể thao Nik Erman Nik Roseli đã chỉ ra một số yếu tố chính mà FAM cần cân nhắc trước khi thực hiện bất kỳ hành động nào tiếp theo. Quyền Chủ tịch FAM, Datuk Mohd Yusoff Mahadi, khẳng định FAM sẽ kháng án lên CAS (",https://dantri.com.vn/the-thao/bao-malaysia-nghi-ngo-fam-thang-kien-tai-cas-lo-ngai-tang-them-an-phat-20251105072950902.htm,1
5,Dân Trí,giai-tri,BLV Quang Việt rời VTV sau 14 năm gắn bó,"Thông tin BLV Quang Việt rời VTV đã được chính anh xác nhận ngày 3/11, khiến nhiều đồng nghiệp, khán giả không khỏi bất ngờ và tiếc nuối. BLV Quang Việt cho biết, hành trình nghề nghiệp của anh tại Đài truyền hình Việt Nam (VTV) bắt đầu từ những ngày đầu tháng 11/2011 và giờ khép lại cũng vào những ngày của tháng 11 - một cột mốc tròn 14 năm đầy ắp kỷ niệm. VTV là nơi anh đã có cả ""thanh xuân rực rỡ”. Trong lời chia sẻ xúc động trên trang cá nhân, Quang Việt dành những lời trân trọng nhất cho VTV: ""VTV không chỉ là nơi làm việc, mà còn là ngôi nhà thứ 2 đúng nghĩa. Ở đây, tôi đã được sống trọn với đam mê thể thao, được làm việc cùng những người anh, người thầy, những đồng nghiệp, bạn bè tuyệt vời và có cả một gia đình nhỏ. Đó là quãng thanh xuân chỉ có đam mê, không hối tiếc, dẫu đôi lúc phải vượt qua nhiều thử thách”. BLV Quang Việt (ngoài cùng bên trái) trong buổi bình luận trực tiếp Euro 2024 (",https://dantri.com.vn/giai-tri/blv-quang-viet-roi-vtv-sau-14-nam-gan-bo-20251104064624405.htm,1
6,Dân Trí,giai-tri,Chiêm ngưỡng các tác phẩm nhiếp ảnh độc đáo tại Biennale Photo Hanoi 2025,"Sáng 1/11, tại Trung tâm Văn hóa Nghệ thuật (số 22 Hàng Buồm, phường Hoàn Kiếm, Hà Nội) đã diễn ra lễ khai mạc Biennale (triển lãm nghệ thuật - nhiếp ảnh quốc tế) Photo Hanoi 2025. Biennale Photo Hanoi 2025 là chuỗi triển lãm về nhiếp ảnh được Sở Văn hóa và Hà Nội phối hợp cùng Viện Pháp tại Hà Nội tổ chức 2 năm một lần. Biennale nhiếp ảnh quốc tế Photo Hanoi 2025 được tổ chức từ ngày 1/11 đến hết ngày 30/11 tại hơn 22 địa điểm tiêu biểu trên địa bàn Thủ đô Hà Nội như: Phố đi bộ hồ Gươm, Văn Miếu - Quốc Tử Giám, Long Bien Art Space, VCCA,… Mỗi không gian trưng bày, tổ chức triển lãm sẽ thể hiện nhiều chủ đề, nhiều góc nhìn của 170 nhiếp ảnh gia, chuyên gia đến từ Việt Nam và các quốc gia khác. Sau buổi khai mạc, tại Trung tâm văn hóa nghệ thuật 22 Hàng Buồm, triển lãm “Hoài niệm về những thành phố” đã mở cửa đón khách và người yêu nhiếp ảnh. Điểm nhấn đáng chú ý của triển lãm là không gian mô phỏng những chuyến tàu xưa của Hà Nội, được bày trí ngay lối vào của không gian trưng bày. Thông qua mô hình dựng lại của một toa tàu xưa, bộ ảnh về cuộc sống Hà Nội năm 1987 của nhiếp ảnh gia người Pháp Jean-Charles Sarrazin đã được tái hiện. Là một nhiếp ảnh gia đam mê khám phá, tác giả Jean-Charles Sarrazin từng có thời gian 1 năm sinh sống, gắn bó với Hà Nội. “Những bức ảnh trưng bày tại đây được tôi chụp trong khoảng thời gian ở tại thành phố. Các bức ảnh nói về cuộc sống thường ngày của cư dân Hà Nội, tại khắp các phố phường và đặc biệt là trên những chuyến tàu điện, thứ chỉ còn là ký ức được nhìn qua những khung hình”, ông Jean-Charles Sazzazin chia sẻ. Không gian triển lãm còn hấp dẫn du khách bởi những hình ảnh của thủ đô Hà Nội xưa và nay. Bên cạnh những khung cảnh vượt thời gian của thành phố, không gian trưng bày của Hà Nội có thêm một điểm nhấn đặc biệt là bộ ảnh được ghi nhận vào thời điểm dịch Covid-19 đang bùng phát, với những chiếc rào và những cung đường vắng vẻ tại Thủ đô. Chia sẻ về lý do thực hiện bộ ảnh, tác giả Phạm Duy (phải) cho biết đây là một sự tình cờ, nổi hứng của bản thân mình. Với mong muốn ghi lại những hình ảnh lịch sử, anh đã cầm theo chiếc máy ảnh cá nhân để lưu lại khoảnh khắc của thành phố. “Khi dịch Covid-19 bùng phát tại miền Bắc, đặc biệt là tại Hà Nội thời điểm năm 2021, tôi bất giác muốn cầm chiếc máy ảnh phim cũ rồi ra đường. Tôi biết rằng, đây sẽ là khoảnh khắc có một không hai, bởi sau này, khi đã hết dịch, những chiếc rào chắn, những cung đường vắng vẻ sẽ khó xuất hiện ở một thành phố nhộn nhịp như Hà Nội”, anh Duy cho biết. Ngoài ra, những hình ảnh về nhịp sống, văn hóa, kiến trúc của các thành phố lớn, nổi tiếng trên thế giới như Tokyo, Bắc Kinh, Phnom Penh, Berlin, Paris, Hong Kong… cũng được trưng bày tại triển lãm. Bên lề triển lãm, hoạt động trải nghiệm chụp rửa ngay bằng chiếc máy ảnh xưa mang lại nhiều thú vị, gợi cho du khách về cảm nhận về các đồ vật xưa. Tại Trung tâm Nghệ thuật đương đại Vincom - VCCA (phường Thanh Xuân, Hà Nội), 2 triển lãm “Miền trập” và “Lưu trữ và Hậu lưu trữ” đã được trưng bày. Triển lãm “Miền trập” đưa tác giả tìm hiểu sự liên quan giữa bộ môn nghệ thuật nhiếp ảnh và trình diễn, mong muốn nói về việc không chỉ là công cụ ghi chép lại khoảnh khắc, nhiếp ảnh còn có thể can thiệp vào thực tại. Trong khi đó, “Lưu trữ và Hậu lưu trữ” mang đến cho khán giả những câu chuyện về ký ức cá nhân của tác giả xa xứ người Việt và Caribe. Các mẩu chuyện trong quá khứ đi cùng những phong tục, bản sắc văn hóa qua lăng kính nhiếp ảnh của chính tác giả truyền tải đến người xem những suy ngẫm sâu sắc về sự biến đổi trong phong tục, tập quán khi tác giả rời xa quê hương. Sự công phu, đầu tư đến từ các nhiếp ảnh gia đặt vào từng bức ảnh đã thu hút sự quan tâm, chú ý đến tham quan của công chúng. Trong 1 tháng diễn ra Biennale Photo Hanoi 2025, ngoài các triển lãm diễn ra ở 22 địa điểm trên địa bàn Hà Nội, nhiều buổi trải nghiệm, các workshop, tour nghệ thuật và các hoạt động khác sẽ được tổ chức, hứa hẹn mang lại nhiều trải nghiệm thú vị cho khách tham quan.",https://dantri.com.vn/giai-tri/chiem-nguong-cac-tac-pham-nhiep-anh-doc-dao-tai-biennale-photo-hanoi-2025-20251103151856768.htm,1
7,Dân Trí,giai-tri,Chi Pu lọt top nhà lãnh đạo tiên phong dưới 35 tuổi năm 2025,"Diễn đàn Doanh nhân trẻ châu Á - Thái Bình Dương (APEA), thuộc khuôn khổ Hội nghị Thượng đỉnh APEC 2025, đã công bố 141 nhà lãnh đạo trẻ tiêu biểu dưới 35 tuổi của khu vực. Trong đó, Chi Pu là nghệ sĩ Việt Nam hiếm hoi góp mặt và sẽ xuất hiện trên trang bìa ấn phẩm năm nay. Sánh vai cùng các tên tuổi như Tiêu Chiến (Trung Quốc), Son Heung-min (Hàn Quốc) và Vương Hưng Hưng - nhà sáng lập, CEO Unitree Robotics (Trung Quốc), Chi Pu được vinh danh trong lĩnh vực văn hóa và giải trí, khẳng định vị thế của nghệ sĩ Việt trên bản đồ khu vực. Chi Pu vừa lọt danh sách “Những nhà lãnh đạo tiên phong U35 khu vực châu Á - Thái Bình Dương năm 2025” (",https://dantri.com.vn/giai-tri/chi-pu-lot-top-nha-lanh-dao-tien-phong-duoi-35-tuoi-nam-2025-20251104092302336.htm,1
8,Dân Trí,giai-tri,Á hậu Trịnh Mỹ Anh tự tin trước thềm chung kết Hoa hậu Trái đất 2025,"Chỉ còn hơn một ngày nữa, chung kết Hoa hậu Trái đất 2025 (Miss Earth) sẽ chính thức diễn ra tại Philippines. Đại diện thí sinh Việt Nam - Á hậu Trịnh Mỹ Anh - đang trong giai đoạn chuẩn bị kỹ lưỡng cho đêm thi quan trọng nhất tại đấu trường nhan sắc quốc tế. Trước thềm chung kết, Trịnh Mỹ Anh cho biết, những ngày qua, cô giữ nhịp sinh hoạt đều đặn, dậy sớm mỗi ngày để sẵn sàng cho các buổi tổng duyệt với tinh thần tập trung cao độ, gạt qua những áp lực để giữ vững sự tự tin. Á hậu Trịnh Mỹ Anh đang tham gia Hoa hậu Trái đất 2025 (",https://dantri.com.vn/giai-tri/a-hau-trinh-my-anh-tu-tin-truoc-them-chung-ket-hoa-hau-trai-dat-2025-20251104143534780.htm,1
9,Dân Trí,giai-tri,"Hoa hậu Jennifer Phạm: ""Tôi không sợ thị phi""","Ngày 3/11, Ban tổ chức Hoa hậu Việt Nam 2026 đã tổ chức họp báo giới thiệu về giải pickleball trong khuôn khổ cuộc thi. Theo đó, dàn sao Việt nổi tiếng sẽ tham gia giải đấu, như: Hoa hậu Jennifer Phạm, Hoa hậu Du lịch Ngọc Quỳnh, Á hậu Tú Anh, NSƯT Việt Anh... Jennifer Phạm cho biết, chơi thể thao giúp cô rèn luyện sức khỏe, cân bằng cuộc sống (",https://dantri.com.vn/giai-tri/hoa-hau-jennifer-pham-toi-khong-so-thi-phi-20251104121431416.htm,1
10,Dân Trí,giai-tri,"Trẻ trung bất ngờ ở tuổi 62, Lý Liên Kiệt vướng tin đồn cấy ghép nội tạng","Giữa tháng 8 vừa qua, truyền thông Trung Quốc lan truyền hình ảnh Lý Liên Kiệt nằm trên giường bệnh, trông gầy yếu khiến người hâm mộ lo lắng. Dù phía nam diễn viên khẳng định ông chỉ điều trị ngắn ngày, này vẫn khiến dư luận xôn xao. Tháng 10, ông bất ngờ xuất hiện tại Giải vô địch quốc tế truyền thống ở Trung Quốc với dáng vẻ nhanh nhẹn, rạng rỡ và còn gặp gỡ diễn viên Ngô Kinh cùng sư phụ Ngô Bân. Lý Liên Kiệt (phải) xuất hiện trẻ trung và phong độ tại Giải vô địch quốc tế Võ thuật truyền thống ở Trung Quốc hồi tháng 10 (",https://dantri.com.vn/giai-tri/tre-trung-bat-ngo-o-tuoi-62-ly-lien-kiet-vuong-tin-don-cay-ghep-noi-tang-20251104120434436.htm,1
